Ad_link,location,house_type,sqft,bedrooms,bathrooms,furnishing,constr_info,floor_no,facing,price
https://www.olx.in/item/awesome-2bhk-flat-at-nyati-elysia-kharadi-at-5045-lac-only-985-sq-iid-1681648107,"Kharadi, Pune, Maharashtra",['Apartments'],['985'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['9'],['East'],"₹ 50,45,000"
https://www.olx.in/item/big-3bhk-flat-at-majestique-towers-kharadi-at-7240-lacs-only-1592-iid-1681645658,"Kalyani Nagar, Pune, Maharashtra",['Apartments'],['1592'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['5'],['East'],"₹ 72,40,000"
https://www.olx.in/item/super-1bhk-flat-at-riverdale-suits-kharadi-at-3560-lac-only-791sq-iid-1681628894,"Kharadi, Pune, Maharashtra",['Apartments'],['791'],['1'],['1'],['Semi-Furnished'],['Ready to Move'],['4'],['East'],"₹ 35,60,000"
https://www.olx.in/item/for-sale-2-bhk-new-flat-at-chandkheda-iid-1664836633,"Chandkheda, Ahmedabad, Gujarat",['Apartments'],['125'],['2'],['2'],['Unfurnished'],['Ready to Move'],['5'],['East'],"₹ 42,00,000"
https://www.olx.in/item/3bhk-near-82-sector-iid-1671078572,"Sector 66A, Mohali, Punjab",['Apartments'],['1750'],['3'],['3'],['Semi-Furnished'],['Under Construction'],['7'],['North-East'],"₹ 1,15,00,000"
https://www.olx.in/item/stunning-4bhk-house-sale-thirumala-valiyavila-iid-1678606529,"Thirumala, Thiruvananthapuram, Kerala",['Houses & Villas'],['1500'],['4'],['4'],['Semi-Furnished'],['Ready to Move'],,,"₹ 70,00,000"
https://www.olx.in/item/stunning-3bhk-house-sale-puliyarakonam-iid-1678603139,"Vattiyoorkavu, Thiruvananthapuram, Kerala",['Houses & Villas'],['1900'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 57,00,000"
https://www.olx.in/item/stunning-3bhk-house-sale-near-vattiyoorkavu-iid-1678602562,"Vattiyoorkavu, Thiruvananthapuram, Kerala",['Houses & Villas'],['1500'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],,,"₹ 50,00,000"
https://www.olx.in/item/luxirious-jda-approved-4-bhk-flats-near-by-main-sikar-road-murlipura-iid-1657361108,"Murlipura, Jaipur, Rajasthan",['Apartments'],['1800'],['4'],['3'],['Furnished'],['Ready to Move'],['1'],['East'],"₹ 80,00,000"
https://www.olx.in/item/1200sqft-2bhk-appartment-at-thripunithura-iid-1685513304,"Thripunithura, Kochi, Kerala",['Apartments'],['1200'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 42,00,000"
https://www.olx.in/item/3bhk-flat-1750-squire-feet-just-80-lac-only-iid-1675030306,"Mianwali Colony, Gurgaon, Haryana",['Builder Floors'],['1750'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 82,00,000"
https://www.olx.in/item/house-for-sale-iid-1684470612,"Babiyal, Ambala, Haryana",['Apartments'],['117'],['3'],['2'],['Unfurnished'],['Ready to Move'],,['South-West'],"₹ 22,00,000"
https://www.olx.in/item/ready-to-move-house-near-nh-at-aluva-iid-1682263693,"Chalakkal East, Vazhakulam, Kerala",['Houses & Villas'],['1500'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],,,"₹ 62,00,000"
https://www.olx.in/item/2-bhk-25l-iid-1684968596,"Shikargarh, Jodhpur, Rajasthan",['Apartments'],['715'],['2'],['2'],['Unfurnished'],['New Launch'],['1'],['East'],"₹ 25,00,000"
https://www.olx.in/item/2bhk-flat-36-lac-3bhk-just-55-lac-only-in-krishna-colony-gurgaon-iid-1675026252,"Krishna Colony, Gurgaon, Haryana",['Builder Floors'],['1350'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 55,00,000"
https://www.olx.in/item/2bhk-jda-approved-flat-in-laxmi-nagar-near-murlipura-jaipur-iid-1672178624,"Murlipura, Jaipur, Rajasthan",['Apartments'],['850'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 23,00,000"
https://www.olx.in/item/3bhk-jda-approved-flat-in-laxmi-nagar-jhotwara-jaipur-iid-1671172488,"Niwaru Road, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 29,00,000"
https://www.olx.in/item/2bhk-jda-approved-flat-in-laxmi-nagar-jhotwara-jaipur-iid-1652082885,"Mayur Vihar, Jaipur, Rajasthan",['Apartments'],['850'],['2'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 22,50,000"
https://www.olx.in/item/2bhk-jda-approved-flat-in-laxmi-nagar-jhotwara-iid-1651814474,"Murlipura, Jaipur, Rajasthan",['Apartments'],['900'],['2'],['2'],,['Ready to Move'],['2'],['East'],"₹ 22,00,000"
https://www.olx.in/item/3bhk-jda-approved-flat-in-laxmi-nagar-jhotwara-jaipur-iid-1651800240,"Mayur Vihar, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['2'],['East'],"₹ 28,00,000"
https://www.olx.in/item/3bhk-jda-approved-flat-in-laxmi-nagar-near-murlipura-jhotwara-iid-1651768203,"Murlipura, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 29,00,000"
https://www.olx.in/item/3bhk-jda-approved-flat-in-gokulpura-near-vaishali-jaipur-iid-1651643358,"Hanumant Nagar, Jaipur, Rajasthan",['Apartments'],['1200'],['3'],['2'],['Semi-Furnished'],['Ready to Move'],['1'],['East'],"₹ 27,50,000"
https://www.olx.in/item/kangarappady-infopark-kakkanad-3bhk-house-kakanad-edappalli-vallathol-iid-1538117939,"Kakkanad, Kochi, Kerala",['Houses & Villas'],['1600'],['3'],['3'],['Furnished'],['Ready to Move'],['2'],['East'],"₹ 69,00,000"
https://www.olx.in/item/beautiful-2bhk-flats-affordable-price-iid-1685047260,,,,,,,,,,
https://www.olx.in/item/chahat-grand-homes-iid-1683674408,"Ambala Chandigarh Expressway, Zirakpur, Punjab",['Builder Floors'],['1298'],['3'],['3'],['Semi-Furnished'],['Ready to Move'],['3'],['East'],"₹ 39,90,000"
https://www.olx.in/item/2bhk-north-east-facing-apartment-in-maninonda-iid-1683446168,"Manikonda, Hyderabad, Telangana",['Apartments'],['1080'],['2'],['1'],['Semi-Furnished'],['Ready to Move'],['1'],['North-East'],"₹ 50,00,000"
https://www.olx.in/item/double-story-3-bhk-nr-omaxe-metro-city-area-near-kalli-market-iid-1683847455,"Pgi, Lucknow, Uttar Pradesh",['Houses & Villas'],['1650'],['3'],['4'],['Furnished'],['Ready to Move'],['12'],['West'],"₹ 57,00,000"
https://www.olx.in/item/2-bhk-house-in-3-katha-land-sall-just-35-lakh-at-battala-bazar-iid-1684300206,"Mohishila, Asansol MC, West Bengal",['Houses & Villas'],['1100'],['2'],['2'],['Unfurnished'],['Ready to Move'],['1'],['East'],"₹ 35,00,000"
https://www.olx.in/item/apartments-near-to-tidel-park-budget-friendly-iid-1681427154,"Peelamedu, Coimbatore, Tamil Nadu",['Apartments'],['921'],['2'],['2'],['Unfurnished'],['Under Construction'],['3'],['North-East'],"₹ 45,00,000"
